"CodMateria","NomMateria",
"1","Matemática",
"2","Mat/Ec/Filo_5",
"3","Física",
"4","Dibujo Técnico",
"5","Historia",
"6","Geografía",
"7","Investigación",
"10","Áreas transversales",
"11","Anatomía",
"12","Biología",
"13","CC NN",
"14","Ed. Física",
"15","Dibujo y Arte",
"16","Castellano",
"17","Música",
"18","Computación",
"19","Francés Op",
"20","Literature",
"21","Química",
"22","Dib/Filo",
"23","Grammar",
"24","Aso de Clase",
"25","Matemática 5",
"26","Global",
"27","Speech",
"28","Matemática 6",
"29","Mat/Eco/Fil_ 6",
"30","Science",
