"CodMateria","CodDia","CodHora","CodMateProhibicionTipo",
"2","2","7","2",
"2","3","7","2",
"2","4","7","2",
"2","5","7","2",
"2","6","7","2",
"7","2","6","2",
"7","2","7","2",
"7","3","6","2",
"7","3","7","2",
"7","4","6","2",
"7","4","7","2",
"7","5","6","2",
"7","5","7","2",
"7","6","6","2",
"7","6","7","2",
"23","2","1","2",
"23","2","2","2",
"23","2","3","2",
"23","2","5","2",
"23","3","1","2",
"23","3","2","2",
"23","3","3","2",
"23","3","5","2",
"23","4","1","2",
"23","4","2","2",
"23","4","3","2",
"23","4","5","2",
"23","5","1","2",
"23","5","2","2",
"23","5","3","2",
"23","5","5","2",
"23","6","1","2",
"23","6","2","2",
"23","6","3","2",
"23","6","5","2",
